,artist_name,track_name,track_id,popularity,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence
1078,Ari Lennox,Whipped Cream,6u1sN2DFrKZBDdkdb1L76X,68,0.548,0.744,291210,0.383,0.0,6,0.0966,-10.085,0,0.0309,85.024,4,0.574
1079,SOB X RBE,Vibes (feat. Slimmy B & Yhung T.O.),5lFFk4Y021bldEef4AX8rr,65,0.158,0.805,130480,0.562,0.0,6,0.108,-8.991,1,0.286,103.016,4,0.324
1080,Tee Grizzley,Straight Up,3aUPDGdkCvBwCWhoU5D09J,57,0.0118,0.743,131396,0.804,0.0,10,0.0935,-7.652,0,0.3,94.982,4,0.61
1081,P-Lo,same squad,0YCl0i8CTDqtISiphhLIE8,67,0.0146,0.918,151054,0.419,4.67e-06,7,0.195,-9.129,0,0.104,96.036,4,0.756
1082,Ray LaMontagne,Such A Simple Thing,1fYouLdK3PkOMPnx4CPxTY,71,0.86,0.522,296387,0.256,0.000825,10,0.142,-11.216,1,0.0258,76.35,4,0.13
1083,Pink Sweat$,Honesty,5dXI2NV7X2c4anyLFbQdEX,68,0.919,0.616,191000,0.204,0.0,6,0.106,-11.421,0,0.0331,79.826,4,0.419
1084,Cody Johnson,On My Way to You,1Xa0gIAsmt1vRlo2fXPZEr,65,0.319,0.395,213305,0.541,3.03e-05,1,0.0857,-5.484,1,0.0319,80.365,4,0.237
1085,Young Dolph,Break The Bank (feat. Offset),1lXr5tEPGHcu5E5BaXwPPi,67,0.00445,0.941,184187,0.671,0.00284,8,0.139,-6.259,1,0.322,140.048,4,0.198
1086,Clare Dunn,More,3ClguHW7ndoVp2ARyXXi9M,66,0.486,0.432,212120,0.796,0.0,4,0.355,-2.952,0,0.049,183.935,4,0.563
1087,Chelsea Cutler,Cold Showers,59krMPfRgjLYmAkVA2gHl4,68,0.102,0.624,239160,0.459,0.0,8,0.117,-6.035,1,0.0321,119.048,4,0.122
1088,Ella Mai,Boo'd Up,4squZv12LD9M8ooJfoVgZS,68,0.158,0.397,239341,0.843,0.0,10,0.0844,-3.726,0,0.0987,81.201,4,0.22
1089,Quavo,BUBBLE GUM,1t5lB6hvOMWdat5NKm29Qx,68,0.114,0.799,196496,0.752,0.0,11,0.109,-3.734,0,0.274,75.98,4,0.763
1090,Ruel,Dazed & Confused,2pyjbGTpJCPjMYwCbdymiF,71,0.102,0.688,189608,0.5,0.0,2,0.355,-7.411,1,0.138,127.906,3,0.418
1091,Wiz Khalifa,Something New (feat. Ty Dolla $ign),6u8hSdYZxbK5EczDPRIXXf,67,0.0935,0.814,200774,0.635,0.0,7,0.0892,-6.609,0,0.0809,87.581,4,0.784
1092,H.E.R.,Going (Interlude),39qqM3fnJid5WUpXPKBC5R,59,0.73,0.719,75800,0.478,6e-06,6,0.143,-9.777,1,0.141,120.096,4,0.379
1093,Chris Jeday,Ahora Dice - Real Hasta La Muerte Remix,5JrI3Wxx71pwxmtTC7jXys,71,0.265,0.742,275827,0.675,0.0,1,0.121,-5.729,1,0.289,144.048,4,0.576
1094,Sia,Sing For My Life,3msZWSvVMIybnhN29nK2KM,52,0.552,0.554,224507,0.484,1.21e-06,5,0.159,-5.387,1,0.0289,124.149,4,0.185
1095,Gunna,Pedestrian,59F5U0HyyHE7jtbFaJnBnU,66,0.0906,0.736,225381,0.578,1.58e-06,7,0.319,-7.387,1,0.129,172.96,4,0.133
1096,Tee Grizzley,Keep The Rest,1bZra45d8JQuOm3BiVXn0v,58,0.1,0.807,175200,0.673,5.86e-05,1,0.116,-7.861,1,0.285,100.098,4,0.193
1097,Sia,Round and Round,7nMwW8hKct1yCCOpaNmMaY,53,0.0499,0.791,149400,0.91,0.00419,11,0.0703,-3.105,1,0.0752,119.947,4,0.964
1098,BTS,Singularity,3gpU0uqDonMBKEcJu4Rzsf,72,0.554,0.775,196998,0.271,0.00285,1,0.112,-9.131,0,0.092,104.001,3,0.204
1099,BTS,MIC Drop (Steve Aoki Remix) [Full Length Edition],75scDPqGs75FotglJSoOI2,73,0.0114,0.606,307676,0.848,1.06e-06,11,0.206,-3.952,1,0.184,170.01,4,0.54
1100,Sia,My Old Santa Claus,3lhTIJepO4zHFK7sllezGz,51,0.0168,0.621,204387,0.885,0.0,1,0.0702,-4.124,0,0.154,122.0,4,0.697
1101,YoungBoy Never Broke Again,Preach,45RbAX2KxbPdNwUgeYA69j,64,0.175,0.731,236071,0.675,0.0,8,0.213,-4.771,0,0.247,155.049,4,0.381
1102,flora cash,You're Somebody Else,0pdKRp2sUthTPe7RLWpPqQ,69,0.841,0.713,218883,0.452,0.0038,1,0.105,-9.638,1,0.0295,102.963,4,0.235
1103,H.E.R.,Fate,532vPzkjAV7fwEgjypZMKW,58,0.741,0.5,193187,0.442,0.0,0,0.105,-7.545,1,0.0422,70.891,4,0.165
1104,Troye Sivan,Strawberries & Cigarettes,2z7UKVsBdbA7HFPunDKDP4,73,0.158,0.514,201547,0.539,0.0,9,0.0902,-8.696,1,0.188,168.062,4,0.274
1105,Red Velvet,Bad Boy,5GKwq4sO5ZHKuWaDmdwMQc,74,0.191,0.714,210818,0.736,0.0,2,0.0553,-3.801,1,0.0457,149.985,4,0.814
1106,Jason Mraz,Have It All,1pIMxRddmCGalHnRbLFkWg,72,0.192,0.643,226098,0.617,0.0,1,0.0989,-4.95,0,0.041,82.029,4,0.592
1107,Andy Mineo,Coming In Hot,1FYd1szE0RHXOAM00V4MEx,66,0.0271,0.89,200168,0.454,3.58e-06,8,0.157,-8.777,1,0.26,140.041,4,0.425
1108,Logic,Thank You (ft. Lucy Rose & The RattPack),4ut9fdC5ncgcvCo0KaphNY,67,0.165,0.598,430427,0.759,1.44e-06,10,0.399,-7.14,1,0.261,159.451,4,0.534
1109,ayokay,Stay With Me,65Bynqyt59f3fojjs1Uo41,69,0.489,0.695,189787,0.695,0.00019,2,0.131,-6.612,1,0.0706,100.021,4,0.468
1110,Ocean Park Standoff,If You Were Mine,3szbYyYgEBehQG7q0kv5qb,68,0.00989,0.656,204380,0.773,0.0,8,0.436,-3.609,1,0.0297,120.056,4,0.406
1111,Trippie Redd,How You Feel,6qLkTJidtiVuNmW7ETJlic,66,0.921,0.248,274532,0.293,0.0291,2,0.0954,-11.598,1,0.033,169.784,4,0.04
1112,Cole Swindell,20 in a Chevy,1XIYYgAkVxULMbhr2zNjKS,65,0.0559,0.587,184080,0.82,7.28e-06,8,0.0777,-5.662,1,0.0414,95.011,4,0.604
1113,Bryant Myers,Tanta Falta,0sPTfDSZgE3KvcvqaKPtEx,83,0.135,0.856,181093,0.728,1e-06,7,0.2,-3.497,1,0.0916,89.999,4,0.797
1114,Primer Dia,"Floating, Always",7Bp4flLTs8PX9oP620atQF,70,0.963,0.0658,184231,0.0649,0.969,0,0.111,-23.744,1,0.0434,71.654,4,0.0917
